Sample DNA ID,Species,Location,Collection Site,Collection Date,Sample Type,Migration Category,Filtered RAD Alignments,Filtered RAD Alignments (single-end),File ID,Notes
DNAA051_C09,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,281504,142097,Ch_Puy_P_51_C09,
DNAA051_C10,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,306842,154584,Ch_Puy_P_51_C10,
DNAA051_C11,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,422270,213313,Ch_Puy_P_51_C11,
DNAA051_C12,Chinook,Nooksack River,Skookum Creek Hatchery,2014/10/08,Live Adult,Premature,441668,223122,Ch_Noo_P_51_C12,
DNAA051_D01,Chinook,Siletz River,Ojalla Bridge,2014/11/09,Live Adult,Mature,348327,175787,Ch_Sil_M_51_D01,
DNAA051_D02,Chinook,Rogue River,Near Huntley Park,2014/09/19,Live Adult,Mature,440261,222184,Ch_Rog_M_51_D02,
DNAA051_D03,Chinook,Rogue River,Near Huntley Park,2014/09/22,Live Adult,Mature,463366,234003,Ch_Rog_M_51_D03,
DNAA051_D04,Chinook,Rogue River,Cole River Hatchery,2014/09/24,Live Adult,Premature,483127,243845,Ch_Rog_P_51_D04,
DNAA051_D05,Chinook,Rogue River,Upper Rogue,2014/09/29,Adult Carcass,Premature,5798,2897,Ch_Rog_P_51_D05,
DNAA051_D06,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,384178,193744,Ch_Puy_M_51_D06,
DNAA051_D07,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,280430,141462,Ch_Puy_M_51_D07,
DNAA051_D08,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,283448,142893,Ch_Puy_M_51_D08,
DNAA051_D09,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,272941,137799,Ch_Puy_P_51_D09,
DNAA051_D10,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,321516,162427,Ch_Puy_P_51_D10,
DNAA051_D11,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,464487,234443,Ch_Puy_P_51_D11,
DNAA051_D12,Chinook,Nooksack River,Skookum Creek Hatchery,2014/10/08,Live Adult,Premature,429378,216715,Ch_Noo_P_51_D12,
DNAA051_E01,Chinook,Siletz River,Siletz Falls Trap,2014/08/29,Live Adult,Premature,310859,156766,Ch_Sil_P_51_E01,
DNAA051_E02,Chinook,Rogue River,Near Huntley Park,2014/09/19,Live Adult,Mature,375803,189825,Ch_Rog_M_51_E02,
DNAA051_E03,Chinook,Rogue River,Near Huntley Park,2014/09/24,Live Adult,Mature,487693,245943,Ch_Rog_M_51_E03,
DNAA051_E04,Chinook,Rogue River,Cole River Hatchery,2014/09/24,Live Adult,Premature,482927,243994,Ch_Rog_P_51_E04,
DNAA051_E05,Chinook,Rogue River,Upper Rogue,2014/09/29,Adult Carcass,Premature,11880,5945,Ch_Rog_P_51_E05,
DNAA051_E06,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,366198,184925,Ch_Puy_M_51_E06,
DNAA051_E07,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,292862,148024,Ch_Puy_M_51_E07,
DNAA051_E08,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,303784,153335,Ch_Puy_M_51_E08,
DNAA051_E09,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,283844,143163,Ch_Puy_P_51_E09,
DNAA051_E10,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,450930,227535,Ch_Puy_P_51_E10,
DNAA051_E11,Chinook,Nooksack River,Lummi Bay Hatchery,2014/10/22,Live Adult,Mature,423924,213797,Ch_Noo_M_51_E11,
DNAA051_E12,Chinook,Eel River,Van Arsdale Fisheries Station,2014/11/22,Live Adult,Mature,341281,172359,Ch_Eel_M_51_E12,
DNAA051_F01,Chinook,Siletz River,Siletz Falls Trap,2014/08/29,Live Adult,Premature,428395,216195,Ch_Sil_P_51_F01,
DNAA051_F02,Chinook,Rogue River,Near Huntley Park,2014/09/19,Live Adult,Mature,452195,228035,Ch_Rog_M_51_F02,
DNAA051_F03,Chinook,Rogue River,Near Huntley Park,2014/09/24,Live Adult,Mature,408338,206112,Ch_Rog_M_51_F03,
DNAA051_F04,Chinook,Rogue River,Cole River Hatchery,2014/09/24,Live Adult,Premature,466587,235335,Ch_Rog_P_51_F04,
DNAA051_F05,Chinook,Rogue River,Upper Rogue,2014/09/22,Adult Carcass,Premature,2428,1217,Ch_Rog_P_51_F05,
DNAA051_F06,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,310801,157091,Ch_Puy_M_51_F06,
DNAA051_F07,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,193074,97496,Ch_Puy_M_51_F07,
DNAA051_F08,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,388055,195824,Ch_Puy_M_51_F08,
DNAA051_F09,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,438724,221345,Ch_Puy_P_51_F09,
DNAA051_F10,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,459404,231792,Ch_Puy_P_51_F10,
DNAA051_F11,Chinook,Nooksack River,Lummi Bay Hatchery,2014/10/22,Live Adult,Mature,261205,131676,Ch_Noo_M_51_F11,
DNAA051_F12,Chinook,Eel River,Van Arsdale Fisheries Station,2014/11/21,Live Adult,Mature,416429,210147,Ch_Eel_M_51_F12,
DNAA051_G01,Chinook,Siletz River,Siletz Falls Trap,2014/08/29,Live Adult,Premature,358555,181123,Ch_Sil_P_51_G01,
DNAA051_G02,Chinook,Rogue River,Near Huntley Park,2014/09/24,Live Adult,Mature,263345,132874,Ch_Rog_M_51_G02,
DNAA051_G03,Chinook,Rogue River,Near Huntley Park,2014/09/22,Live Adult,Mature,364423,184100,Ch_Rog_M_51_G03,
DNAA051_G04,Chinook,Rogue River,Cole River Hatchery,2014/09/24,Live Adult,Premature,372929,188198,Ch_Rog_P_51_G04,
DNAA051_G05,Chinook,Rogue River,Upper Rogue,2014/09/22,Adult Carcass,Premature,35995,18182,Ch_Rog_P_51_G05,
DNAA051_G06,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,332331,167704,Ch_Puy_M_51_G06,
DNAA051_G07,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,281673,142147,Ch_Puy_M_51_G07,
DNAA051_G08,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,283545,143073,Ch_Puy_P_51_G08,
DNAA051_G09,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,289978,146217,Ch_Puy_P_51_G09,
DNAA051_G10,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,313745,158271,Ch_Puy_P_51_G10,
DNAA051_G11,Chinook,Nooksack River,Lummi Bay Hatchery,2014/10/22,Live Adult,Mature,350637,176816,Ch_Noo_M_51_G11,
DNAA051_G12,Chinook,Eel River,Van Arsdale Fisheries Station,2014/11/20,Live Adult,Mature,275898,139138,Ch_Eel_M_51_G12,
DNAA051_H01,Chinook,Siletz River,Siletz Falls Trap,2014/08/29,Live Adult,Premature,486641,245622,Ch_Sil_P_51_H01,
DNAA051_H02,Chinook,Rogue River,Near Huntley Park,2014/09/24,Live Adult,Mature,281236,141797,Ch_Rog_M_51_H02,
DNAA051_H03,Chinook,Rogue River,Near Huntley Park,2014/09/19,Live Adult,Mature,284321,143485,Ch_Rog_M_51_H03,
DNAA051_H04,Chinook,Rogue River,Cole River Hatchery,2014/09/24,Live Adult,Premature,405230,204303,Ch_Rog_P_51_H04,
DNAA051_H05,Chinook,Rogue River,Upper Rogue,2014/09/22,Adult Carcass,Premature,902,464,Ch_Rog_P_51_H05,
DNAA051_H06,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,470329,237360,Ch_Puy_M_51_H06,
DNAA051_H07,Chinook,Puyallup River,Clark's Creek Hatchery,2014/09/23,Live Adult,Mature,86124,43448,Ch_Puy_M_51_H07,
DNAA051_H08,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,386626,194812,Ch_Puy_P_51_H08,
DNAA051_H09,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,394314,198894,Ch_Puy_P_51_H09,
DNAA051_H10,Chinook,Puyallup River,White River Hatchery,2014/09/18,Live Adult,Premature,409423,206378,Ch_Puy_P_51_H10,
DNAA051_H11,Chinook,Nooksack River,Lummi Bay Hatchery,2014/10/22,Live Adult,Mature,391539,197472,Ch_Noo_M_51_H11,
DNAA051_H12,Chinook,Eel River,Van Arsdale Fisheries Station,2014/11/22,Live Adult,Mature,378452,190910,Ch_Eel_M_51_H12,
