sample,pop
KNKx027,KNK
KNKx028,KNK
KNKx029,KNK
KNKx030,KNK
KNKx031,KNK
KNKx032,KNK
KNKx033,KNK
KNKx034,KNK
KNKx035,KNK
KNKx036,KNK
KNKx037,KNK
KNKx038,KNK
KNKx039,KNK
KNKx040,KNK
KNKx041,KNK
KNKx042,KNK
KNKx043,KNK
KNKx044,KNK
KNKx045,KNK
KNKx046,KNK
KNKx047,KNK
KTSx001,KTS
KTSx002,KTS
KTSx003,KTS
KTSx004,KTS
KTSx005,KTS
KTSx006,KTS
KTSx007,KTS
KTSx008,KTS
KTSx009,KTS
KTSx010,KTS
KTSx011,KTS
KTSx012,KTS
KTSx013,KTS
KTSx014,KTS
KTSx015,KTS
KTSx016,KTS
KTSx017,KTS
KTSx018,KTS
KTSx019,KTS
KTSx020,KTS
KTSx021,KTS
KTSx022,KTS
KTSx023,KTS
KTSx024,KTS
KTSx025,KTS
KTSx026,KTS
KTSx027,KTS
KTSx028,KTS
KTSx029,KTS
KTSx030,KTS
KTSx031,KTS
KTSx032,KTS
KTSx033,KTS
KTSx034,KTS
KTSx035,KTS
KTSx036,KTS
KTSx037,KTS
KTSx038,KTS
KTSx039,KTS
KTSx040,KTS
KTSx041,KTS
KTSx042,KTS
LYOx001,LYO
LYOx002,LYO
LYOx003,LYO
LYOx004,LYO
LYOx005,LYO
LYOx006,LYO
LYOx007,LYO
LYOx008,LYO
LYOx009,LYO
LYOx010,LYO
LYOx011,LYO
LYOx012,LYO
LYOx013,LYO
LYOx014,LYO
LYOx015,LYO
LYOx016,LYO
LYOx017,LYO
LYOx018,LYO
LYOx019,LYO
LYOx020,LYO
LYOx021,LYO
LYOx022,LYO
LYOx023,LYO
LYOx024,LYO
LYOx025,LYO
LYOx026,LYO
LYOx027,LYO
LYOx028,LYO
LYOx029,LYO
LYOx030,LYO
LYOx031,LYO
LYOx032,LYO
LYOx033,LYO
LYOx034,LYO
LYOx035,LYO
LYOx036,LYO
LYOx037,LYO
LYOx038,LYO
LYOx039,LYO
LYOx040,LYO
LYOx041,LYO
LYOx042,LYO
LYOx043,LYO
LYOx044,LYO
LYOx045,LYO
LYOx046,LYO
LYOx047,LYO
LYOx048,LYO
MBTx001,MBT
MBTx002,MBT
MBTx003,MBT
MBTx004,MBT
MBTx005,MBT
MBTx006,MBT
MBTx007,MBT
MBTx008,MBT
MBTx009,MBT
MBTx010,MBT
MBTx011,MBT
MBTx012,MBT
MBTx013,MBT
MBTx014,MBT
MBTx015,MBT
MBTx016,MBT
MBTx017,MBT
MBTx018,MBT
MBTx019,MBT
MBTx020,MBT
MBTx021,MBT
MBTx022,MBT
MBTx023,MBT
MBTx024,MBT
MBTx025,MBT
MBTx026,MBT
MBTx027,MBT
MBTx028,MBT
MBTx029,MBT
MBTx030,MBT
MBTx031,MBT
MBTx032,MBT
MBTx033,MBT
MBTx034,MBT
MBTx035,MBT
MBTx036,MBT
MBTx037,MBT
MBTx038,MBT
MBTx039,MBT
MBTx040,MBT
MBTx041,MBT
MBTx042,MBT
MBTx043,MBT
MCHx001,MCH
MCHx002,MCH
MCHx003,MCH
MCHx004,MCH
MCHx005,MCH
MCHx006,MCH
MCHx007,MCH
MCHx008,MCH
MCHx009,MCH
MCHx010,MCH
MCHx011,MCH
MCHx012,MCH
MCHx013,MCH
MCHx014,MCH
MCHx015,MCH
MCHx016,MCH
MCHx017,MCH
MCHx018,MCH
MCHx019,MCH
MCHx020,MCH
MCHx021,MCH
MCHx022,MCH
MCHx023,MCH
MCHx024,MCH
MCHx025,MCH
MCHx026,MCH
MCHx027,MCH
MCHx028,MCH
MCHx029,MCH
MCHx030,MCH
MCHx031,MCH
MCHx032,MCH
MCHx033,MCH
MCHx034,MCH
MCHx035,MCH
MCHx036,MCH
MCHx037,MCH
MCHx038,MCH
MCHx039,MCH
MCHx040,MCH
MCHx041,MCH
MCHx042,MCH
MCHx043,MCH
MCKx001,MCK
MCKx002,MCK
MCKx003,MCK
MCKx004,MCK
MCKx005,MCK
MCKx006,MCK
MCKx007,MCK
MCKx008,MCK
MCKx009,MCK
MCKx010,MCK
MCKx011,MCK
MCKx012,MCK
MCKx013,MCK
MCKx014,MCK
MCKx015,MCK
MCKx016,MCK
MCKx017,MCK
MCKx018,MCK
MCKx019,MCK
MCKx020,MCK
MCKx021,MCK
MCKx022,MCK
MCKx023,MCK
MCKx024,MCK
MCKx025,MCK
MCKx026,MCK
MCKx027,MCK
MCKx028,MCK
MCKx029,MCK
MCKx030,MCK
MCKx031,MCK
MCKx032,MCK
MCKx033,MCK
MCKx034,MCK
MCKx035,MCK
MCKx036,MCK
MCKx037,MCK
MCKx038,MCK
MCKx039,MCK
MCKx040,MCK
MCKx041,MCK
MCKx042,MCK
MCKx043,MCK
MCKx044,MCK
MCKx045,MCK
MCKx046,MCK
MCKx047,MCK
MCKx048,MCK
METx001,MET
METx002,MET
METx003,MET
METx004,MET
METx005,MET
METx006,MET
METx007,MET
METx008,MET
METx009,MET
METx010,MET
METx011,MET
METx012,MET
METx013,MET
METx014,MET
METx015,MET
METx016,MET
METx017,MET
METx018,MET
METx019,MET
METx020,MET
METx021,MET
METx022,MET
METx023,MET
METx024,MET
METx025,MET
METx026,MET
METx027,MET
METx028,MET
METx029,MET
METx030,MET
METx031,MET
METx032,MET
METx033,MET
METx034,MET
METx035,MET
METx036,MET
METx037,MET
METx038,MET
METx039,MET
METx040,MET
METx041,MET
METx042,MET
METx043,MET
METx044,MET
METx045,MET
METx046,MET
METx047,MET
MONx001,MON
MONx002,MON
MONx003,MON
MONx004,MON
MONx005,MON
MONx006,MON
MONx007,MON
MONx008,MON
MONx009,MON
MONx010,MON
MONx011,MON
MONx012,MON
MONx013,MON
MONx014,MON
MONx015,MON
MONx016,MON
MONx017,MON
MONx018,MON
MONx019,MON
MONx020,MON
MONx021,MON
MONx022,MON
MONx023,MON
MONx024,MON
MONx025,MON
MONx026,MON
MONx027,MON
MONx028,MON
MONx029,MON
MONx030,MON
MONx031,MON
MONx032,MON
MONx033,MON
MONx034,MON
MONx035,MON
MONx036,MON
MONx037,MON
MONx038,MON
MONx039,MON
MONx040,MON
MORx001,MOR
MORx002,MOR
MORx003,MOR
MORx004,MOR
MORx005,MOR
MORx006,MOR
MORx007,MOR
MORx008,MOR
MORx009,MOR
MORx010,MOR
MORx011,MOR
MORx012,MOR
MORx013,MOR
MORx014,MOR
MORx015,MOR
MORx016,MOR
MORx017,MOR
MORx018,MOR
MORx019,MOR
MORx020,MOR
MORx021,MOR
MORx022,MOR
MORx023,MOR
MORx024,MOR
MORx025,MOR
MORx026,MOR
MORx027,MOR
MORx028,MOR
MORx029,MOR
MORx030,MOR
MORx031,MOR
MORx032,MOR
MORx033,MOR
MORx034,MOR
MORx035,MOR
MORx036,MOR
MORx037,MOR
MORx038,MOR
MORx039,MOR
MORx040,MOR
MORx041,MOR
MORx042,MOR
MORx043,MOR
MORx044,MOR
MORx045,MOR
MORx046,MOR
MORx047,MOR
MORx048,MOR
MSHx001,MSH
MSHx002,MSH
MSHx003,MSH
MSHx004,MSH
MSHx005,MSH
MSHx006,MSH
MSHx007,MSH
MSHx008,MSH
MSHx009,MSH
MSHx010,MSH
MSHx011,MSH
MSHx012,MSH
MSHx013,MSH
MSHx014,MSH
MSHx015,MSH
MSHx016,MSH
MSHx017,MSH
MSHx018,MSH
MSHx019,MSH
MSHx020,MSH
MSHx021,MSH
MSHx022,MSH
MSHx023,MSH
MSHx024,MSH
MSHx025,MSH
MSHx026,MSH
MSHx027,MSH
MSHx028,MSH
MSHx029,MSH
MSHx030,MSH
MSHx031,MSH
MSHx032,MSH
MSHx033,MSH
MSHx034,MSH
MSHx035,MSH
MSHx036,MSH
MSHx037,MSH
MSHx038,MSH
MSHx039,MSH
NESx001,NES
NESx002,NES
NESx003,NES
NESx004,NES
NESx005,NES
NESx006,NES
NESx007,NES
NESx008,NES
NESx009,NES
NESx010,NES
NESx011,NES
NESx012,NES
NESx013,NES
NESx014,NES
NESx015,NES
NESx016,NES
NESx017,NES
NESx018,NES
NESx019,NES
NESx020,NES
NESx021,NES
NESx022,NES
NESx023,NES
NESx024,NES
NESx025,NES
NESx026,NES
NESx027,NES
NESx028,NES
NESx029,NES
NESx030,NES
NESx031,NES
NESx032,NES
NESx033,NES
NESx034,NES
NESx035,NES
NESx036,NES
NESx037,NES
NESx038,NES
NESx039,NES
NESx040,NES
NESx041,NES
NESx042,NES
NESx043,NES
NEWx001,NEW
NEWx002,NEW
NEWx003,NEW
NEWx004,NEW
NEWx005,NEW
NEWx006,NEW
NEWx007,NEW
NEWx008,NEW
NEWx009,NEW
NEWx010,NEW
NEWx011,NEW
NEWx012,NEW
NEWx013,NEW
NEWx014,NEW
NEWx015,NEW
NEWx016,NEW
NEWx017,NEW
NEWx018,NEW
NEWx019,NEW
NEWx020,NEW
NEWx021,NEW
NEWx022,NEW
NEWx023,NEW
NEWx024,NEW
NEWx025,NEW
NEWx026,NEW
NEWx027,NEW
NEWx028,NEW
NEWx029,NEW
NEWx030,NEW
NEWx031,NEW
NEWx032,NEW
NEWx033,NEW
NEWx034,NEW
NEWx035,NEW
NEWx036,NEW
NEWx037,NEW
NEWx038,NEW
NEWx039,NEW
NEWx040,NEW
PAHx001,PAH
PAHx002,PAH
PAHx003,PAH
PAHx004,PAH
PAHx005,PAH
PAHx006,PAH
PAHx007,PAH
PAHx008,PAH
PAHx009,PAH
PAHx010,PAH
PAHx011,PAH
PAHx012,PAH
PAHx013,PAH
PAHx014,PAH
PAHx015,PAH
PAHx016,PAH
PAHx017,PAH
PAHx018,PAH
PAHx019,PAH
PAHx020,PAH
PAHx021,PAH
PAHx022,PAH
PAHx023,PAH
PAHx024,PAH
PAHx025,PAH
PAHx026,PAH
PAHx027,PAH
PAHx028,PAH
PAHx029,PAH
PAHx030,PAH
PAHx031,PAH
PAHx032,PAH
PAHx033,PAH
PAHx034,PAH
PAHx035,PAH
PAHx036,PAH
PAHx037,PAH
PAHx038,PAH
PAHx039,PAH
PAHx040,PAH
PAHx041,PAH
PAHx042,PAH
PAHx043,PAH
PRHx001,PRH
PRHx002,PRH
PRHx003,PRH
PRHx004,PRH
PRHx005,PRH
PRHx006,PRH
PRHx007,PRH
PRHx008,PRH
PRHx009,PRH
PRHx010,PRH
PRHx011,PRH
PRHx012,PRH
PRHx013,PRH
PRHx014,PRH
PRHx015,PRH
PRHx016,PRH
PRHx017,PRH
PRHx018,PRH
PRHx019,PRH
PRHx020,PRH
PRHx021,PRH
PRHx022,PRH
PRHx023,PRH
PRHx024,PRH
PRHx025,PRH
PRHx026,PRH
PRHx027,PRH
PRHx028,PRH
PRHx029,PRH
PRHx030,PRH
PRHx031,PRH
PRHx032,PRH
PRHx033,PRH
PRHx034,PRH
PRHx035,PRH
PRHx036,PRH
PRHx037,PRH
PRHx038,PRH
PRHx039,PRH
PRHx040,PRH
PRHx041,PRH
PRHx042,PRH
PRHx043,PRH
PRHx044,PRH
PRHx045,PRH
PRHx046,PRH
PULx001,PUL
PULx002,PUL
PULx003,PUL
PULx004,PUL
PULx005,PUL
PULx006,PUL
PULx007,PUL
PULx008,PUL
PULx009,PUL
PULx010,PUL
PULx011,PUL
PULx012,PUL
PULx013,PUL
PULx014,PUL
PULx015,PUL
PULx016,PUL
PULx017,PUL
PULx018,PUL
PULx019,PUL
PULx020,PUL
PULx021,PUL
PULx022,PUL
PULx023,PUL
PULx024,PUL
PULx025,PUL
PULx026,PUL
PULx027,PUL
PULx028,PUL
PULx029,PUL
PULx030,PUL
PULx031,PUL
PULx032,PUL
PULx033,PUL
PULx034,PUL
PULx035,PUL
PULx036,PUL
PULx037,PUL
PULx038,PUL
PULx039,PUL
PULx040,PUL
PULx041,PUL
PULx042,PUL
PULx043,PUL
QUIx001,QUI
QUIx002,QUI
QUIx003,QUI
QUIx004,QUI
QUIx005,QUI
QUIx006,QUI
QUIx007,QUI
QUIx008,QUI
QUIx009,QUI
QUIx010,QUI
QUIx011,QUI
QUIx012,QUI
QUIx013,QUI
QUIx014,QUI
QUIx015,QUI
QUIx016,QUI
QUIx017,QUI
QUIx018,QUI
QUIx019,QUI
QUIx020,QUI
QUIx021,QUI
QUIx022,QUI
QUIx023,QUI
QUIx024,QUI
QUIx025,QUI
QUIx026,QUI
QUIx027,QUI
QUIx028,QUI
QUIx029,QUI
QUIx030,QUI
QUIx031,QUI
QUIx032,QUI
QUIx033,QUI
QUIx034,QUI
QUIx035,QUI
QUIx036,QUI
QUIx037,QUI
QUIx038,QUI
QUIx039,QUI
QUIx040,QUI
QUIx041,QUI
QUIx042,QUI
QUIx043,QUI
QUIx044,QUI
QUIx045,QUI
QUIx046,QUI
QUIx047,QUI
QUIx048,QUI
RAPx001,RAP
RAPx002,RAP
RAPx003,RAP
RAPx004,RAP
RAPx005,RAP
RAPx006,RAP
RAPx007,RAP
RAPx008,RAP
RAPx009,RAP
RAPx010,RAP
RAPx011,RAP
RAPx012,RAP
RAPx013,RAP
RAPx014,RAP
RAPx015,RAP
RAPx016,RAP
RAPx017,RAP
RAPx018,RAP
RAPx019,RAP
RAPx020,RAP
RAPx021,RAP
RAPx022,RAP
RAPx023,RAP
RAPx024,RAP
RAPx025,RAP
RAPx026,RAP
RAPx027,RAP
RAPx028,RAP
RAPx029,RAP
RAPx030,RAP
RAPx031,RAP
RAPx032,RAP
RAPx033,RAP
RAPx034,RAP
RAPx035,RAP
RAPx036,RAP
RAPx037,RAP
RAPx038,RAP
RAPx039,RAP
RAPx040,RAP
RAPx041,RAP
RAPx042,RAP
RAPx043,RAP
RAPx044,RAP
RAPx045,RAP
RAPx046,RAP
ROBx001,ROB
ROBx002,ROB
ROBx003,ROB
ROBx004,ROB
ROBx005,ROB
ROBx006,ROB
ROBx007,ROB
ROBx008,ROB
ROBx009,ROB
ROBx010,ROB
ROBx011,ROB
ROBx012,ROB
ROBx013,ROB
ROBx014,ROB
ROBx015,ROB
ROBx016,ROB
ROBx017,ROB
ROBx018,ROB
ROBx019,ROB
ROBx020,ROB
ROBx021,ROB
ROBx022,ROB
ROBx023,ROB
ROBx024,ROB
ROBx025,ROB
ROBx026,ROB
ROBx027,ROB
ROBx028,ROB
ROBx029,ROB
ROBx030,ROB
ROBx031,ROB
ROBx032,ROB
ROBx033,ROB
ROBx034,ROB
ROBx035,ROB
ROBx036,ROB
ROBx037,ROB
ROBx038,ROB
ROBx039,ROB
ROBx040,ROB
ROBx041,ROB
ROBx042,ROB
ROBx043,ROB
ROBx044,ROB
ROBx045,ROB
ROBx046,ROB
ROBx047,ROB
ROBx048,ROB
ROCx001,ROC
ROCx002,ROC
ROCx003,ROC
ROCx004,ROC
ROCx005,ROC
ROCx006,ROC
ROCx007,ROC
ROCx008,ROC
ROCx009,ROC
ROCx010,ROC
ROCx011,ROC
ROCx012,ROC
ROCx013,ROC
ROCx014,ROC
ROCx015,ROC
ROCx016,ROC
ROCx017,ROC
ROCx018,ROC
ROCx019,ROC
ROCx020,ROC
ROCx021,ROC
ROCx022,ROC
ROCx023,ROC
ROCx024,ROC
ROCx025,ROC
ROCx026,ROC
ROCx027,ROC
ROCx028,ROC
ROCx029,ROC
ROCx030,ROC
ROCx031,ROC
ROCx032,ROC
ROCx033,ROC
ROCx034,ROC
ROCx035,ROC
ROCx036,ROC
ROCx037,ROC
ROCx038,ROC
ROCx039,ROC
ROCx040,ROC
ROCx041,ROC
ROCx042,ROC
ROCx043,ROC
ROCx044,ROC
ROCx045,ROC
ROCx046,ROC
ROCx047,ROC
ROCx048,ROC
SINx001,SIN
SINx002,SIN
SINx003,SIN
SINx004,SIN
SINx005,SIN
SINx006,SIN
SINx007,SIN
SINx008,SIN
SINx009,SIN
SINx010,SIN
SINx011,SIN
SINx012,SIN
SINx013,SIN
SINx014,SIN
SINx015,SIN
SINx016,SIN
SINx017,SIN
SINx018,SIN
SINx019,SIN
SINx020,SIN
SINx021,SIN
SINx022,SIN
SINx023,SIN
SINx024,SIN
SINx025,SIN
